CustomerID,Recency,Monetary,Cluster
C1723067,26,798.0,2
C8739536,26,580.0,2
C8534292,27,2695.01,2
C4656236,27,612.0,2
C6939051,26,378.0,2
C2013026,27,545.0,2
C7438633,27,1000.0,2
C8410362,26,430.0,2
C6715619,22,1200.0,2
C2262277,25,468.0,2
C6641469,22,2000.0,2
C6662392,25,431.0,2
C4248063,25,1134.0,2
C3032514,30,1724.0,2
C6075290,25,578.0,2
C4838157,25,900.47,2
C6935345,25,999.0,2
C2241639,30,1350.0,2
C2476719,30,407.0,2
C1553241,30,740.0,2
C2971724,25,2140.0,2
C4417812,30,2829.0,2
C5829739,30,544.0,2
C5923247,30,1040.0,2
C3519235,26,900.0,2
C1528774,27,436.0,2
C5284053,27,780.0,2
C8216513,27,1500.0,2
C7247926,27,358.0,2
C5115258,26,800.0,2
C3632984,26,1084.43,2
C4114830,26,400.0,2
C4876919,26,937.5,2
C7816778,26,1999.0,2
C8433643,26,1884.0,2
C2415974,26,2730.2,2
C8531255,29,2300.0,2
C8188479,26,950.0,2
C1348134,30,975.0,2
C4435617,26,549.35,2
C1140044,26,720.0,2
C6314016,26,2791.0,2
C7537811,26,650.0,2
C4623643,26,821.5,2
C6011915,27,1548.0,2
C4675315,26,1500.0,2
C2111324,27,604.0,2
C3225774,27,675.0,2
C3659770,27,446.0,2
C2320674,26,500.0,2
C3069955,27,641.0,2
C3733121,22,500.0,2
C2136067,26,872.0,2
C2922420,26,500.0,2
C3816888,22,1603.73,2
C1025717,22,400.0,2
C7739187,25,870.0,2
C4223438,25,650.0,2
C7996956,30,500.0,2
C7728980,25,1389.0,2
C4220570,30,500.0,2
C1289519,25,400.0,2
C3912660,26,1354.0,2
C1533625,25,1049.0,2
C5775424,30,605.0,2
C3424616,25,472.0,2
C6719386,30,400.0,2
C3012051,30,1714.62,2
C4112061,30,355.0,2
C1517745,25,549.69,2
C6825956,26,449.0,2
C6050558,27,1094.0,2
C7591865,27,1123.0,2
C2421842,27,1500.0,2
C3419588,27,2000.0,2
C8415645,26,500.0,2
C7610530,27,600.0,2
C7215717,27,370.0,2
C1652381,27,606.5,2
C6710021,27,1080.0,2
C7974778,27,370.0,2
C3633980,26,1229.0,2
C2495937,26,697.0,2
C7518748,26,1000.0,2
C5818439,26,884.08,2
C5576929,26,500.0,2
C2259569,26,500.0,2
C4131473,26,500.0,2
C5218675,26,1970.0,2
C7314146,29,875.16,2
C4040325,29,887.0,2
C5023311,25,1000.0,2
C3314290,30,1255.0,2
C4394459,26,838.2,2
C4341447,26,668.0,2
C5691553,26,481.0,2
C3715640,27,720.0,2
C3013355,27,1368.36,2
C3219871,27,585.6,2
C6528683,27,1829.0,2
C7823174,27,1044.75,2
C5325812,26,1000.0,2
C6022342,27,1420.0,2
C8528560,27,438.0,2
C8327724,27,688.0,2
C7138191,22,606.9,2
C1342915,22,488.0,2
C1238149,22,606.9,2
C4419273,22,2070.0,2
C5730360,22,500.0,2
C8835129,22,850.0,2
C7815472,22,936.14,2
C5324680,22,410.0,2
C4821781,30,730.0,2
C1826767,25,1029.3,2
C4312592,27,919.0,2
C3522958,26,500.0,2
C8525280,30,2500.0,2
C2323347,25,2150.0,2
C3141451,30,2275.0,2
C8137966,30,2000.0,2
C7139352,30,1000.0,2
C4424073,30,1200.0,2
C5030138,30,1129.0,2
C3339054,30,2150.0,2
C7855642,30,1395.0,2
C2741891,27,1000.0,2
C1129349,27,558.0,2
C4446275,27,499.0,2
C2116877,30,510.0,2
C1739875,27,399.0,2
C4687265,26,456.0,2
C1434743,25,2000.0,2
C7215643,27,1576.66,2
C1432531,26,850.0,2
C6438441,26,2000.0,2
C2715975,26,1131.0,2
C3637484,26,547.0,2
C8114017,26,2000.0,2
C5341430,26,1000.0,2
