PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,QUARTER,YEAR
Abraham Lincoln Playground,MANHATTAN,0.991,BASKETBALL & POOL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Captain Rivera Playground,BRONX,0.988,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Newtown Barge Playground,BROOKLYN,0.983,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Hollis Playground,QUEENS,0.98,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Maple Playground,QUEENS,0.978,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Mott Playground,BRONX,0.977,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Gouverneur Playground,BRONX,0.977,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Lannett Playground,QUEENS,0.974,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Zimmerman Playground,BRONX,0.974,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,1.0,0,0.0,0.0,1.0,Q1,2020
Ten Eyck Playground,BROOKLYN,0.972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Ranaqua Park,BRONX,0.972,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Mae Grant Playground,MANHATTAN,0.97,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Carver Playground,BROOKLYN,0.964,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Andries Playground,BROOKLYN,0.964,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Park Slope Playground,BROOKLYN,0.955,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Cherry Tree Park,MANHATTAN,0.95,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Davis Playground,STATEN ISLAND,0.949,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Matthew P. Sapolin Playground,MANHATTAN,0.947,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Peter Minuit Playground,MANHATTAN,0.943,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
South Rochdale Playground,QUEENS,0.942,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Drew Playground,BRONX,0.94,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Fox Playground Bronx,BRONX,0.94,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,1.0,0.0,0,0.0,0.0,1.0,Q1,2020
Walter Ward Playground,QUEENS,0.935,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Crispus Attucks Playground,BROOKLYN,0.934,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Benson Playground,BROOKLYN,0.934,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Surf Playground,BROOKLYN,0.933,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Bergen Beach Playground,BROOKLYN,0.927,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Tiger Playground,BROOKLYN,0.926,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Athens Square,QUEENS,0.925,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Saw Mill Playground,BRONX,0.92,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
P.S. 279 Playground,BROOKLYN,0.92,PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Rock Garden Park,BRONX,0.92,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
Boerum Park,BROOKLYN,0.918,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Q1,2020
